locality;caterpillar;plant
Wanang;Choreutis cf. anthorma;Ficus phaeosyce
Wanang;Mellea sp. 1 nr. ordinaria;Macaranga novoguineensis
Niksek;Mellea ordinaria complex;Macaranga clavata
Niksek;Addaea nr. probolopsis;Macaranga clavata
Niksek;Mellea nitida;Macaranga hispida
Niksek;Mellea sp.near rectiviata;Macaranga hispida
Yapsiei;Mellea ramifera;Macaranga novoguineensis
Utai;Mellea sp. AAI1456;Macaranga clavata
Utai;Mellea ordinaria complex;Macaranga clavata
Utai;Dichomeris n. sp. nr. ochreoviridella;Macaranga tsonane
Utai;Mellea ordinaria complex;Macaranga clavata
Utai;Mellea ordinaria complex;Macaranga clavata
Yapsiei;Mellea ramifera;Psychotria cf. hollandiae
Wamangu;Limacodidae sp.LIMA007;Macaranga quadriglandulosa
Morox;Brenthia JR54;Ficus hahliana
Morox;Mellea hieroglyphica;Macaranga fallacina
Morox;Talanga excelsalis;Ficus copiosa
Morox;Agrotera genuflexa;Syzygium sp.
Wamangu;Mellea rectiviata;Macaranga bifoveata
Wamangu;Addaea pusilla;Macaranga bifoveata
Morox;Pharambara splendida;Macaranga quadriglandulosa
Morox;Arctornis nr. intacta 3 SEM-2008;Macaranga aleuritoides
Morox;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Morox;Addaea nr. probolopsis;Macaranga fallacina
Morox;Mellea hieroglyphica;Macaranga novoguineensis
Morox;Rhodoneura aurata;Macaranga quadriglandulosa
Morox;Mellea ramifera;Macaranga novoguineensis
Morox;Mellea ramifera;Macaranga novoguineensis
Morox;Mellea hieroglyphica;Macaranga novoguineensis
Morox;Mellea sp. THYR012;Macaranga aleuritoides
Morox;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Morox;Rhodoneura aurata;Macaranga quadriglandulosa
Morox;Pharambara splendida;Macaranga quadriglandulosa
Morox;Pharambara splendida;Macaranga quadriglandulosa
Morox;Mellea nitida;Macaranga aleuritoides
Morox;Mellea hieroglyphica;Macaranga novoguineensis
Niksek;Mellea ramifera;Macaranga novoguineensis
Niksek;Mellea ramifera;Macaranga novoguineensis
Niksek;Mellea sp.near rectiviata;Macaranga hispida
Niksek;Mellea ordinaria complex;Macaranga clavata
Yapsiei;Mellea ordinaria complex;Macaranga clavata
Utai;Mellea ordinaria complex;Macaranga clavata
Wamangu;Mellea nitida;Macaranga bifoveata
Wamangu;Mellea ramifera;Macaranga novoguineensis
Morox;Mellea ramifera;Macaranga novoguineensis
Morox;Mellea ramifera;Macaranga novoguineensis
Morox;Mellea nitida;Macaranga aleuritoides
Morox;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Elem;Mellea nitida;Macaranga hispida
Elem;Mellea nitida;Macaranga aleuritoides
Niksek;Mellea ordinaria complex;Macaranga clavata
Utai;Pharambara splendida;Macaranga tsonane
Utai;Mellea nitida;Macaranga aleuritoides
Ohu1;Mellea ordinaria complex;Macaranga cf. brachytricha
Ohu1;Mellea ramifera;Macaranga novoguineensis
Morox;Pharambara splendida;Macaranga quadriglandulosa
Morox;Mellea hieroglyphica;Macaranga novoguineensis
Morox;Mellea ordinaria complex;Macaranga cf. brachytricha
Morox;Rhodoneura aurata;Macaranga quadriglandulosa
Elem;Mellea sp.near rectiviata;Macaranga hispida
Morox;Dichomeris sp. XXXX068;Macaranga aleuritoides
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Utai;Coelorhyncidia nitidalis;Psychotria micrococca
Morox;Meekiaria purpurea;Psychotria micrococca
Utai;Meekiaria sp. AAA3379;Psychotria ramuensis
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria sp. AAA3378;Psychotria aff. ectasiphylla
Ohu1;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu2;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu2;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu2;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu2;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu2;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu1;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu1;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Ohu2;Meekiaria purpurea;Psychotria micrococca
Ohu1;Coelorhyncidia nitidalis;Psychotria micrococca
Ohu2;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Elem;Meekiaria purpurea;Psychotria micrococca
Wanang;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Yapsiei;Choreutis lutescens;Psychotria cf. hollandiae
Utai;Meekiaria sp. AAA3379;Psychotria ramuensis
Wamangu;Coelorhyncidia nitidalis;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Wanang;Meekiaria purpurea;Psychotria micrococca
Wanang;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Yapsiei;Coelorhyncidia nitidalis;Psychotria cf. hollandiae
Ohu1;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Wamangu;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Wamangu;Meekiaria purpurea;Psychotria micrococca
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Morox;Orthaga nr. percnodes;Syzygium sp.
Yapsiei;Coelorhyncidia nitidalis;Psychotria aff. ectasiphylla
Yapsiei;Meekiaria sp. BOLD:AAA3374;Psychotria aff. ectasiphylla
Yapsiei;Meekiaria sp. AAA3378;Psychotria aff. ectasiphylla
Yapsiei;Choreutis lutescens;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria purpurea;Psychotria cf. hollandiae
Yapsiei;Meekiaria sp. BOLD:AAA3374;Ficus pachyrrhachis
Yapsiei;Meekiaria sp. BOLD:AAA3374;Psychotria aff. ectasiphylla
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
Morox;Coelorhyncidia nitidalis;Psychotria micrococca
Morox;Meekiaria sp. BOLD:AAA3374;Psychotria micrococca
