Species	value	skupina	type	
Uraniidae sp.URAN014	1	NOPARA	num_localities	
Xyloryctinae	1	NOPARA	num_localities	
Zaratha sp.1	1	NOPARA	num_localities	
Addaea sp. AAL8409	1	NOPARA	num_loc_no_para	
Adoxophyes sp.9, perstricta complex	1	NOPARA	num_loc_no_para	
Aetholix flavibasalis	1	NOPARA	num_loc_no_para	
Agrotera sp.2 nr basinotata	1	NOPARA	num_loc_no_para	
Anomis flava	1	NOPARA	num_loc_no_para	
Anthela nr. ekeikei	1	NOPARA	num_loc_no_para	
Ardozyga cf. amphiplaca	1	NOPARA	num_loc_no_para	
Ardozyga nr. amphiplaca	1	NOPARA	num_loc_no_para	
Arhopala AAC8740	1	NOPARA	num_loc_no_para	
Arhopala sp. AAC8743	1	NOPARA	num_loc_no_para	
Arhopala thamyras	1	NOPARA	num_loc_no_para	
Archigraptis chrysodema	1	NOPARA	num_loc_no_para	
Arna sp. nr. galactopis	1	NOPARA	num_loc_no_para	
Artaxa sp. AAD5374	1	NOPARA	num_loc_no_para	
Asota heliconia	1	NOPARA	num_loc_no_para	
Barasa cymatistis	1	NOPARA	num_loc_no_para	
Berta albiplaga	1	NOPARA	num_loc_no_para	
Berta sp. AAD4670	1	NOPARA	num_loc_no_para	
Brenthia sp. AAI3836	1	NOPARA	num_loc_no_para	
Caeneressa bernhardi	1	NOPARA	num_loc_no_para	
Cathyalia sp. AAG0397	1	NOPARA	num_loc_no_para	
Cirrhochrista cf. brizoalis	1	NOPARA	num_loc_no_para	
CopromorphidaeGEN sp. AAG0483	1	NOPARA	num_loc_no_para	
CopromorphidaeGEN sp. AAH4359	1	NOPARA	num_loc_no_para	
Crambidae sp.CRAM082	1	NOPARA	num_loc_no_para	
Crambidae sp.CRAM097	1	NOPARA	num_loc_no_para	
Crambidae sp.CRAM132	1	NOPARA	num_loc_no_para	
Crambidae sp.PYRA038	1	NOPARA	num_loc_no_para	
Cyclophora sp. AAF7883	1	NOPARA	num_loc_no_para	
Delonoma pyrrhoplecta	1	NOPARA	num_loc_no_para	
Derambila strigicosta	1	NOPARA	num_loc_no_para	
Dilophothripa sp. AAL1093	1	NOPARA	num_loc_no_para	
Drepanidae	1	NOPARA	num_loc_no_para	
Dysaethria	1	NOPARA	num_loc_no_para	
Dysrhombia nr. alabastraria	1	NOPARA	num_loc_no_para	
Eboda smaragdina	1	NOPARA	num_loc_no_para	
Ectropis bhurmitra	1	NOPARA	num_loc_no_para	
Eilema plana	1	NOPARA	num_loc_no_para	
Elachyophtalma cf. kebeae	1	NOPARA	num_loc_no_para	
Eucyclodes absona	1	NOPARA	num_loc_no_para	
Eucyclodes albilauta	1	NOPARA	num_loc_no_para	
Eugoa nr. perfasciata	1	NOPARA	num_loc_no_para	
Focillodes	1	NOPARA	num_loc_no_para	
Gabala australiata	1	NOPARA	num_loc_no_para	
Garudinodes nr. trizona	1	NOPARA	num_loc_no_para	
Gauna sp. AAF4890	1	NOPARA	num_loc_no_para	
Gelechiidae sp.TORT188	1	NOPARA	num_loc_no_para	
Gelechiidae sp.XXXX148	1	NOPARA	num_loc_no_para	
GelechiidaeGEN sp. AAN5589	1	NOPARA	num_loc_no_para	
Gelechioidea sp.TORT193	1	NOPARA	num_loc_no_para	
Gelechioidea sp.XXXX121	1	NOPARA	num_loc_no_para	
Gelechioidea sp.XXXX126	1	NOPARA	num_loc_no_para	
Geometridae sp.GEOM109	1	NOPARA	num_loc_no_para	
Geometridae sp.GEOM138	1	NOPARA	num_loc_no_para	
Geometridae sp.GEOM143	1	NOPARA	num_loc_no_para	
Geometridae sp.GEOM147	1	NOPARA	num_loc_no_para	
Geometridae sp.GEOM148	1	NOPARA	num_loc_no_para	
Geometridae sp.GEOM160	1	NOPARA	num_loc_no_para	
Geometridae sp.GEOM163	1	NOPARA	num_loc_no_para	
Geometrinae	1	NOPARA	num_loc_no_para	
Glyphodes caesalis	1	NOPARA	num_loc_no_para	
Glyphodes canthusalis	1	NOPARA	num_loc_no_para	
Glyphodes pseudocaesalis	1	NOPARA	num_loc_no_para	
Gonitis involuta	1	NOPARA	num_loc_no_para	
Haritalodes sp. AAB8316	1	NOPARA	num_loc_no_para	
Heterocnephes scapulalis	1	NOPARA	num_loc_no_para	
Hydroclada antigona	1	NOPARA	num_loc_no_para	
Hypolycaena phorbas	1	NOPARA	num_loc_no_para	
Hypsopygia nigrivitta	1	NOPARA	num_loc_no_para	
Chaetocneme lunula	1	NOPARA	num_loc_no_para	
Chaetocneme sp. AAF8537	1	NOPARA	num_loc_no_para	
Chora ekeikei	1	NOPARA	num_loc_no_para	
Choreutidae	1	NOPARA	num_loc_no_para	
Choreutis chi	1	NOPARA	num_loc_no_para	
Choreutis JR07	1	NOPARA	num_loc_no_para	
Choreutis JR08	1	NOPARA	num_loc_no_para	
Chrysocraspeda sp. AAC8547	1	NOPARA	num_loc_no_para	
Chrysoscota sp, near flavostrigata B-B and vagivitta	1	NOPARA	num_loc_no_para	
Imma	1	NOPARA	num_loc_no_para	
Imma sp. AAD4329	1	NOPARA	num_loc_no_para	
Imma sp. AAF9965	1	NOPARA	num_loc_no_para	
Imma sp. AAI2315	1	NOPARA	num_loc_no_para	
Immidae	1	NOPARA	num_loc_no_para	
Labdia sp. AAH4360	1	NOPARA	num_loc_no_para	
Lambula sp. ACE6062	1	NOPARA	num_loc_no_para	
Lambula sp. USNM1	1	NOPARA	num_loc_no_para	
Lecithocera sp. AAI1270	1	NOPARA	num_loc_no_para	
Lecithocera sp. AAI1271	1	NOPARA	num_loc_no_para	
Lecithocera sp. AAI1272	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX113	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX128	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX137	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX138	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX140	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX141	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX145	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX146	1	NOPARA	num_loc_no_para	
Lepidoptera sp.XXXX150	1	NOPARA	num_loc_no_para	
LepidopteraGEN sp. AAH4358	1	NOPARA	num_loc_no_para	
LepidopteraGEN sp. AAH4361	1	NOPARA	num_loc_no_para	
Leucoma sp. ABU6384	1	NOPARA	num_loc_no_para	
Limacodidae sp.LIMA027	1	NOPARA	num_loc_no_para	
Lista carniola	1	NOPARA	num_loc_no_para	
Lithosiinae sp.PYRA039	1	NOPARA	num_loc_no_para	
Lithosiinae sp.TORT189	1	NOPARA	num_loc_no_para	
Lithosiinae sp.XXXX149	1	NOPARA	num_loc_no_para	
Luxiaria sp. AAF9578	1	NOPARA	num_loc_no_para	
Lymantria	1	NOPARA	num_loc_no_para	
Lymantriidae sp.LYMA067	1	NOPARA	num_loc_no_para	
Lymantriidae sp.LYMA072	1	NOPARA	num_loc_no_para	
Lymantriidae sp.LYMA077	1	NOPARA	num_loc_no_para	
LymantriinaeGEN sp. AAG9399	1	NOPARA	num_loc_no_para	
Mambara sp. AAL3983	1	NOPARA	num_loc_no_para	
Marapana pulverata	1	NOPARA	num_loc_no_para	
Meekiaria nr. lignea	1	NOPARA	num_loc_no_para	
Mellea	1	NOPARA	num_loc_no_para	
Mellea sp. AAI1460	1	NOPARA	num_loc_no_para	
Metaphoenia sp. AAI1563	1	NOPARA	num_loc_no_para	
Moca ancistrota	1	NOPARA	num_loc_no_para	
Nacaduba berenice	1	NOPARA	num_loc_no_para	
Nausinoe globulipedalis	1	NOPARA	num_loc_no_para	
