obs_id	proj_code	locality	CAT_sp	specificity_cat	fifty	remove_cat	singlecat	cat_5	plant	common_plants_only	five	PLANT_sp	obs_date	guild	para_obs_id	para_specimen_no	USNMNM	PAR_sp	plus	GENERAL	rarity	Par_remove	singlepara_1	host_sp	source_obs_id	family_par	specificity_par
161850	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	01.03.2004	CAT											243524		
161851	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	01.03.2004	CAT											243525		
161852	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	07.02.2004	CAT											243526		
161853	BETADIV	Yapsiei	Mellea sp. AAI1457		1	0	0	1	MAS	Yes	0	Macaranga fallacina	03.02.2004	CAT											243527		
161854	BETADIV	Yapsiei	Mellea sp. AAI1457		1	0	0	1	MAS	Yes	0	Macaranga fallacina	07.02.2004	CAT											243528		
161855	BETADIV	Yapsiei	Mellea sp. AAI1457		1	0	0	1	MAS	Yes	0	Macaranga fallacina	03.02.2004	CAT											243529		
161856	BETADIV	Yapsiei	Mellea sp. AAI1457		1	0	0	1	MAS	Yes	0	Macaranga fallacina	28.01.2004	CAT											243530		
161857	BETADIV	Yapsiei	Mellea sp. AAI1457		1	0	0	1	MAS	Yes	0	Macaranga fallacina	04.02.2004	CAT											243531		
161858	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	04.02.2004	CAT											243532		
161859	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	16.02.2004	CAT											243533		
161860	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	19.02.2004	CAT											243534		
161861	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	23.03.2004	CAT											243535		
161862	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	23.03.2004	CAT											243536		
161863	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	29.03.2004	CAT											243537		
161864	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	24.03.2004	CAT											243538		
161865	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	23.03.2004	CAT											243539		
161866	BETADIV	Yapsiei	Rhodoneura aurata		1	0	0	1	MAR	No	1	Macaranga tsonane	03.02.2004	CAT											243540		
161867	BETADIV	Yapsiei	Mellea nitida		1	0	0	1	MAR	No	1	Macaranga tsonane	27.01.2004	CAT											243541		
161868	BETADIV	Yapsiei	Mellea sp. THYR012		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	07.02.2004	CAT											243542		
161869	BETADIV	Yapsiei	Mellea nitida		1	0	0	1	MAS	Yes	0	Macaranga fallacina	29.01.2004	CAT											243543		
161870	BETADIV	Yapsiei	Mellea nitida		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	06.02.2004	CAT											243544		
161871	BETADIV	Yapsiei	Ophyx crinipes		0	0	0	1	BER	Yes	1	Ficus hahliana	18.03.2004	CAT											243545		
161872	BETADIV	Yapsiei	Ophyx crinipes		0	0	0	1	BER	Yes	1	Ficus hahliana	16.03.2004	CAT											243546		
161873	BETADIV	Yapsiei	Addaea syndesma		0	0	0	1	MAR	No	1	Macaranga tsonane	10.03.2004	CAT											243547		
161874	BETADIV	Yapsiei	Homona auriga		0	0	0	1	MAX	Yes	1	Macaranga clavata	17.02.2004	CAT											243548		
161875	BETADIV	Yapsiei	Homona aestivana		0	0	0	1	MAX	Yes	1	Macaranga clavata	09.01.2004	CAT											243549		
161876	BETADIV	Yapsiei	Symmacra solidaria ochrea		0	0	1	0	PUN	Yes	0	Ficus pungens	04.02.2004	CAT											243550		
161877	BETADIV	Yapsiei	Coelorhyncidia nitidalis		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	07.02.2004	CAT											243551		
